n,L,iteration,method,lambda,rank,sp.corr,sp.pval,evar_tr,evar_va,evar,mse
10500,30,2,Nystrom,0,3,0.2384478582342858,1.3885005528633964e-65,0.066975969254577591,0.070213291027651351,0.064162222092936594,0.45635283337361782
10500,30,2,Nystrom,1.0000000000000001e-05,3,0.30975449532447569,1.225197378654003e-111,0.094351218379299981,0.067999534956994734,0.099386467914357748,0.43917604829019846
10500,30,2,Nystrom,0.0001,3,0.34791256679384724,3.0572904864220311e-142,0.14795101254140627,0.11034278513774448,0.13603045819015952,0.4213069376566479
10500,30,2,Nystrom,0.001,3,0.054265598286178038,0.00012352305909741409,0.0024772411894692114,0.00028435745764518922,0.0025386196018804745,0.48640302611362041
10500,30,2,Nystrom,0.01,3,0.17703436197694938,1.7488680751403347e-36,0.0318593189178763,0.014877184752793099,0.032782126458321341,0.47165505336565355
10500,30,2,Nystrom,0.10000000000000001,3,0.18763863608048356,7.5224632359975998e-41,0.036099479101657096,0.058231461932223262,0.03568576171858856,0.47023912187689709
10500,30,2,Nystrom,1.0,3,0.14979794174301908,1.7472820642825054e-26,0.028116903417469887,-0.015500111870914855,0.026328555567454393,0.47480207887686038
10500,30,2,Nystrom,10.0,3,0.22766488893118883,8.5270495448102109e-60,0.066935798401684302,0.06913915556440571,0.053342545038484693,0.46162895109033281
10500,30,2,ICD,0,3,0.046254628172111956,0.0010692964864150818,0.0099202453944373954,-0.025098824544381778,0.0015289966700658035,0.48689535961035424
10500,30,2,ICD,1.0000000000000001e-05,3,0.046254628172111956,0.0010692964864150818,0.0099202453944373954,-0.025098824316995092,0.0015289968145324817,0.48689535953990637
10500,30,2,ICD,0.0001,3,0.046254628172111956,0.0010692964864150818,0.0099202453944372288,-0.02509882227051468,0.0015289981147312188,0.48689535890587621
10500,30,2,ICD,0.001,3,0.046254234039976964,0.0010694020289545221,0.0099202453944274051,-0.025098801805756812,0.0015290111166796586,0.48689535256559358
10500,30,2,ICD,0.01,3,0.046254898270945671,0.0010692241636537038,0.0099202453934307613,-0.02509859716272967,0.0015291411321256062,0.48689528916473657
10500,30,2,ICD,0.10000000000000001,3,0.046260933182260378,0.001067609410510184,0.0099202452938375457,-0.025096551187215699,0.0015304408828399252,0.48689465535304915
10500,30,2,ICD,1.0,3,0.046302715028610712,0.0010564916071884225,0.0099202353775923909,-0.025076136774871433,0.0015433981393341003,0.48688833686404021
10500,30,2,ICD,10.0,3,0.046629658314705676,0.00097312218535996716,0.0099192852794753247,-0.024876397568820787,0.0016690658519459968,0.48682705613989347
10500,30,3,Mklaren,0,3,0.70781442526028582,0.0,0.54869295883072788,0.47928893540629369,0.50316022386451131,0.033593238833481039
10500,30,3,Mklaren,1.0000000000000001e-05,3,0.70781442526028582,0.0,0.54869295877186908,0.47929049598960821,0.50316150233821,0.033593152390981131
10500,30,3,Mklaren,0.0001,3,0.70781442526028582,0.0,0.54869295294605702,0.47930453337435425,0.50317300137028043,0.033592374897412278
10500,30,3,Mklaren,0.001,3,0.70780825657723057,0.0,0.54869237156092066,0.47944413019339843,0.50328727727698608,0.03358464826598849
10500,30,3,Mklaren,0.01,3,0.7076902778317733,0.0,0.54863540817678513,0.48076398101305223,0.50436004485789399,0.033512114344009532
10500,30,3,Mklaren,0.10000000000000001,3,0.70154132691164228,0.0,0.54150591077213217,0.4864776878419606,0.49998481251043853,0.033807940548471797
10500,30,3,Mklaren,1.0,3,0.66741560695344404,0.0,0.42407641912335176,0.3929190411449357,0.40372024835081871,0.040316756167399208
10500,30,3,Mklaren,10.0,3,0.63847726700057728,0.0,0.11321239860574332,0.11038745560563658,0.117767178008889,0.059651137689509984
10500,30,3,CSI,0,3,0.21067527953774512,2.8524687809202459e-51,0.093949407450975853,0.054007598334664314,0.048866136792408907,0.0643098007930646
10500,30,3,CSI,1.0000000000000001e-05,3,0.21067527953774512,2.8524687809202459e-51,0.093949407450975853,0.054007598605830945,0.048866136942184273,0.064309800782937715
10500,30,3,CSI,0.0001,3,0.21067527953774512,2.8524687809202459e-51,0.093949407450972855,0.054007601046328887,0.048866138290160885,0.064309800691795857
10500,30,3,CSI,0.001,3,0.21067525217748423,2.8525551432889349e-51,0.093949407450687278,0.054007625451242616,0.048866151769942613,0.064309799780376223
10500,30,3,CSI,0.01,3,0.21067504260748587,2.8532167350510523e-51,0.093949407422100881,0.054007869493933221,0.048866286569167507,0.064309790666084707
10500,30,3,CSI,0.10000000000000001,3,0.21067323779027575,2.8589206895490927e-51,0.093949404565247474,0.054010309275923471,0.048867634701811227,0.064309699513676918
10500,30,3,CSI,1.0,3,0.21063650894404159,2.9774962258474898e-51,0.093949120624198218,0.054034642395158296,0.048881129450772012,0.064308787082050844
