kernel,d,n,p,method,lambda,rank,limit,time
exponential_kernel,100,100,1,RFF,0.1,30,3600,0.008846044540405273
exponential_kernel,100,100,1,ICD,0.1,30,3600,0.023066997528076172
exponential_kernel,100,316,1,Mklaren,0.1,30,3600,0.2387561798095703
exponential_kernel,100,316,1,CSI,0.1,30,3600,1.0454440116882324
exponential_kernel,100,316,1,alignfc,0.1,30,3600,0.6082940101623535
exponential_kernel,100,316,1,FITC,0.1,30,3600,0.5195090770721436
exponential_kernel,100,316,1,align,0.1,30,3600,0.4918389320373535
exponential_kernel,100,316,1,l2krr,0.1,30,3600,0.6143500804901123
exponential_kernel,100,316,1,alignf,0.1,30,3600,0.4862790107727051
exponential_kernel,100,316,1,uniform,0.1,30,3600,0.412290096282959
exponential_kernel,100,316,1,RFF,0.1,30,3600,0.010297060012817383
exponential_kernel,100,316,1,ICD,0.1,30,3600,0.04948902130126953
exponential_kernel,100,1000,1,Mklaren,0.1,30,3600,0.4689338207244873
exponential_kernel,100,1000,1,CSI,0.1,30,3600,3.0928540229797363
exponential_kernel,100,1000,1,alignfc,0.1,30,3600,4.3332929611206055
exponential_kernel,100,1000,1,FITC,0.1,30,3600,0.7345709800720215
exponential_kernel,100,1000,1,align,0.1,30,3600,3.593050003051758
exponential_kernel,100,1000,1,Nystrom,0.1,30,3600,0.10498404502868652
exponential_kernel,100,1000,1,l2krr,0.1,30,3600,7.39249587059021
exponential_kernel,100,1000,1,alignf,0.1,30,3600,4.721158027648926
exponential_kernel,100,1000,1,ICD,0.1,30,3600,0.1826789379119873
exponential_kernel,100,1000,1,RFF,0.1,30,3600,0.02082514762878418
exponential_kernel,100,1000,1,uniform,0.1,30,3600,3.7969188690185547
exponential_kernel,100,3162,1,Mklaren,0.1,30,3600,1.3748250007629395
exponential_kernel,100,3162,1,CSI,0.1,30,3600,18.564631938934326
exponential_kernel,100,3162,1,alignfc,0.1,30,3600,54.01121211051941
exponential_kernel,100,3162,1,FITC,0.1,30,3600,1.6390380859375
exponential_kernel,100,3162,1,align,0.1,30,3600,55.56044101715088
exponential_kernel,100,3162,1,Nystrom,0.1,30,3600,0.23088312149047852
exponential_kernel,100,3162,1,l2krr,0.1,30,3600,131.79685711860657
exponential_kernel,100,3162,1,alignf,0.1,30,3600,50.19324088096619
exponential_kernel,100,3162,1,ICD,0.1,30,3600,0.26066088676452637
exponential_kernel,100,3162,1,RFF,0.1,30,3600,0.048983097076416016
exponential_kernel,100,3162,1,uniform,0.1,30,3600,43.547987937927246
exponential_kernel,100,10000,1,Mklaren,0.1,30,3600,4.3619608879089355
exponential_kernel,100,10000,1,CSI,0.1,30,3600,113.29816198348999
exponential_kernel,100,10000,1,alignfc,0.1,30,3600,992.1732459068298
